Scholarship Name,Scholarship Type ,Provider Name,Provider Type,Education Level,Category,Applicable States,Scholarship Amount (approx),Type of Support ,Last Date (if available),Application URL,Official Source URL
National Fellowship & Scholarship for Higher Education of ST Students,Welfare ,Ministry of Tribal Affairs,Central,PG / Research,ST,All India,Not specified,,Not specified,https://scholarships.gov.in,https://scholarships.gov.in
NEC Merit Scholarship,Welfare ,North Eastern Council,Central,UG / PG,General,North Eastern States,Not specified,,Not specified,https://scholarships.gov.in,https://scholarships.gov.in
Pre-Matric Scholarship for Students with Disabilities,Welfare ,Dept. of Empowerment of PwD,Central,School,Disability,All India,Not specified,,Not specified,https://scholarships.gov.in,https://scholarships.gov.in
PM Scholarship Scheme (Railways),Welfare ,Ministry of Railways,Central,UG / Professional,Special Category,All India,"₹2,500–₹3,000 per month",,Not specified,https://scholarships.gov.in,https://scholarships.gov.in
