id,slug,title,column,old_value,new_value
"sikkim-state-merit-scholarship","sikkim-state-merit-scholarship","Sikkim State Merit Scholarship","verified_status","Yes","Verified"
"arunachal-pradesh-state-merit-scholarship","arunachal-pradesh-state-merit-scholarship","Arunachal Pradesh State Merit Scholarship","verified_status","Yes","Verified"
"ladakh-ut-merit-scholarship","ladakh-ut-merit-scholarship","Ladakh UT Merit Scholarship","verified_status","Yes","Verified"
"andaman-nicobar-administration-merit-scholarship","andaman-nicobar-administration-merit-scholarship","Andaman & Nicobar Administration Merit Scholarship","verified_status","Yes","Verified"
"jn-tata-endowment-for-higher-education","jn-tata-endowment-for-higher-education","JN Tata Endowment for Higher Education","verified_status","Yes","Verified"
"inlaks-shivdasani-foundation-scholarship","inlaks-shivdasani-foundation-scholarship","Inlaks Shivdasani Foundation Scholarship","verified_status","Yes","Verified"
"infosys-foundation-fellowship-select-programs","infosys-foundation-fellowship-select-programs","Infosys Foundation Fellowship (select programs)","verified_status","Yes","Verified"
"colgate-keep-india-smiling-scholarship","colgate-keep-india-smiling-scholarship","Colgate Keep India Smiling Scholarship","verified_status","Yes","Verified"
"siemens-scholarship-program","siemens-scholarship-program","Siemens Scholarship Program","verified_status","Yes","Verified"
"mahindra-all-india-talent-scholarship","mahindra-all-india-talent-scholarship","Mahindra All India Talent Scholarship","verified_status","Yes","Verified"
"op-jindal-engineering-management-scholarship","op-jindal-engineering-management-scholarship","OP Jindal Engineering & Management Scholarship","verified_status","Yes","Verified"
"godrej-scholarship-csr-initiatives","godrej-scholarship-csr-initiatives","Godrej Scholarship (CSR Initiatives)","verified_status","Yes","Verified"
"bosch-csr-scholarship","bosch-csr-scholarship","Bosch CSR Scholarship","verified_status","Yes","Verified"
"acc-vidyasaarathi-scholarship","acc-vidyasaarathi-scholarship","ACC Vidyasaarathi Scholarship","verified_status","Yes","Verified"
"teach-for-india-fellowship","teach-for-india-fellowship","Teach For India Fellowship","verified_status","Yes","Verified"
"young-india-fellowship-ashoka-university","young-india-fellowship-ashoka-university","Young India Fellowship (Ashoka University)","verified_status","Yes","Verified"
"acumen-india-fellowship","acumen-india-fellowship","Acumen India Fellowship","verified_status","Yes","Verified"
"lamp-fellowship","lamp-fellowship","LAMP Fellowship","verified_status","Yes","Verified"
"chevening-scholarship-india-uk-govt-partnered","chevening-scholarship-india-uk-govt-partnered","Chevening Scholarship (India – UK Govt Partnered)","verified_status","Yes","Verified"
"rhodes-scholarship-india","rhodes-scholarship-india","Rhodes Scholarship (India)","verified_status","Yes","Verified"
"research-guidance-phd-fellowship-for-backward-classes-karnataka","research-guidance-phd-fellowship-for-backward-classes-karnataka","Research Guidance PhD Fellowship for Backward Classes (Karnataka)","verified_status","Official","Verified"
"mphil-phd-fellowship-for-minority-students-karnataka","mphil-phd-fellowship-for-minority-students-karnataka","MPhil/PhD Fellowship for Minority Students (Karnataka)","verified_status","Official","Verified"
"national-overseas-scholarship-for-minority-communities-karnataka","national-overseas-scholarship-for-minority-communities-karnataka","National Overseas Scholarship for Minority Communities (Karnataka)","verified_status","Official","Verified"
"cm-raitha-vidya-nidhi-farmers-children-scholarship-karnataka","cm-raitha-vidya-nidhi-farmers-children-scholarship-karnataka","CM Raitha Vidya Nidhi - Farmer's Children Scholarship (Karnataka)","verified_status","Official","Verified"
"samagra-shikshana-karnataka-fellowship","samagra-shikshana-karnataka-fellowship","Samagra Shikshana Karnataka Fellowship","verified_status","Official","Verified"
"incentive-for-sslc-2nd-puc-students-minorities-karnataka","incentive-for-sslc-2nd-puc-students-minorities-karnataka","Incentive for SSLC & 2nd PUC Students - Minorities (Karnataka)","verified_status","Official","Verified"
"labour-department-scheme-for-unorganized-workers-children-karnataka","labour-department-scheme-for-unorganized-workers-children-karnataka","Labour Department Scheme for Unorganized Workers' Children (Karnataka)","verified_status","Official","Verified"
"ongc-sports-scholarship-scheme","ongc-sports-scholarship-scheme","ONGC Sports Scholarship Scheme","verified_status","Official","Verified"
"indianoil-sports-scholarship-scheme","indianoil-sports-scholarship-scheme","IndianOil Sports Scholarship Scheme","verified_status","Official","Verified"
"aai-sports-scholarship-scheme","aai-sports-scholarship-scheme","Airports Authority of India (AAI) Sports Scholarship","verified_status","Official","Verified"
"khelo-india-sports-scholarship-scheme","khelo-india-sports-scholarship-scheme","Khelo India Sports Scholarship Scheme","verified_status","Official","Verified"
"target-olympic-podium-scheme","target-olympic-podium-scheme","Target Olympic Podium Scheme (TOPS)","verified_status","Official","Verified"
"sai-sports-scholarship-legacy-scheme","sai-sports-scholarship-legacy-scheme","SAI Sports Scholarship (Legacy Scheme)","verified_status","Official","Verified"
"gail-sports-scholarship-scheme","gail-sports-scholarship-scheme","GAIL Sports Scholarship Scheme","verified_status","Official","Verified"
