ID,Slug,Title,Provider Type,Status,Is Legacy,Issues Count,Issues List
acumen-india-fellowship,acumen-india-fellowship,"Acumen India Fellowship",Private,Active,No,1,"Old Year Reference (e.g. 2024 or 2025 in title or description)"
lamp-fellowship,lamp-fellowship,"LAMP Fellowship",Private,Active,No,1,"Missing FAQ Content"
chevening-scholarship-india-uk-govt-partnered,chevening-scholarship-india-uk-govt-partnered,"Chevening Scholarship (India – UK Govt Partnered)",Private,Active,No,1,"Missing Min Amount"
rhodes-scholarship-india,rhodes-scholarship-india,"Rhodes Scholarship (India)",Trust,Active,No,1,"Missing Min Amount"
wb-sikshashree,sikshashree-scholarship-scheme-west-bengal,"Sikshashree Scholarship Scheme (West Bengal)",Government,Active,No,1,"Invalid Apply URL format: ""Submit through school"""
punjab-attendance-sc-girls,punjab-attendance-scholarship-for-sc-girls,"Attendance Scholarship for SC Girls",Government,Active,No,1,"Invalid Apply URL format: ""Managed offline via respective government schools"""
uoh-non-net-fellowship,uoh-non-net-fellowship,"University of Hyderabad UGC Non-NET Fellowship",Government,Active,No,1,"Always Open marked but rolling/continuous verification text is missing in descriptions"
739bf971-d6af-48f9-9d8e-2b618b1ea96d,vanier-canada-graduate-scholarships,"Vanier Canada Graduate Scholarships",Study Abroad,Active,No,1,"Missing Min Amount"
bd606fc3-1cff-4633-913a-b9a7c4c4efe2,canada-graduate-scholarships-masters-program,"Canada Graduate Scholarships – Master’s Program",Study Abroad,Active,No,1,"Missing Min Amount"
73a4e267-9175-4a6d-9feb-02d635cf26d4,lester-b-pearson-international-scholarship-program,"Lester B. Pearson International Scholarship Program",University,Active,No,1,"Missing Min Amount"
05fb32af-2307-4add-bd24-b80d9f36a152,daad-research-grants-for-doctoral-candidates,"DAAD Research Grants for Doctoral Candidates",Study Abroad,Active,No,1,"Missing Min Amount"
d3e453b3-4b4b-439e-8ff2-a12835039ac7,konrad-adenauer-stiftung-scholarships,"Konrad-Adenauer-Stiftung Scholarships",Study Abroad,Active,No,1,"Missing Min Amount"
6ff80d2e-306c-4ffd-9caa-2ae4f02857f7,esmt-berlin-mba-scholarships,"ESMT Berlin MBA Scholarships",University,Active,No,1,"Missing Min Amount"
f25a74cd-bc15-4cb9-b583-94b5d1e7a6c0,chevening-scholarships,"Chevening Scholarships",Study Abroad,Active,No,1,"Old Year Reference (e.g. 2024 or 2025 in title or description)"
750fbe3f-0748-4263-be4f-95de0b8f06ec,commonwealth-phd-scholarships,"Commonwealth PhD Scholarships",Study Abroad,Active,No,1,"Missing Min Amount"
639d78e2-f0c7-461e-af6a-0af6654192a0,clarendon-fund-scholarships,"Clarendon Fund Scholarships",University,Active,No,1,"Missing Min Amount"
397dd9df-c170-40f0-87ab-e5952c6fd189,rhodes-scholarship,"Rhodes Scholarship",Study Abroad,Active,No,1,"Missing Min Amount"
147eba23-41d1-4bc1-8055-834f1ef84efd,london-business-school-mba-scholarships,"London Business School MBA Scholarships",University,Active,No,1,"Missing Min Amount"
e5b7627e-1b84-4163-b06a-c33d89fa7b0b,fulbright-nehru-doctoral-research-fellowships,"Fulbright-Nehru Doctoral Research Fellowships",Study Abroad,Active,No,1,"Missing Min Amount"
325d045c-3617-4838-a117-d2ef315536b2,fulbright-nehru-masters-fellowships,"Fulbright-Nehru Master's Fellowships",Study Abroad,Active,No,1,"Missing Min Amount"
