Top pages,Clicks,Impressions,CTR,Position
https://www.indiascholarships.in/scholarships/maharashtra-girls-merit,211,7394,2.85%,5.88
https://www.indiascholarships.in/scholarships-level/class-11-12,202,14183,1.42%,5.5
https://www.indiascholarships.in/scholarships/merit-cum-means-mcm-scholarship-for-minorities-professional-and-technical-courses-karnataka,197,29668,0.66%,3.89
https://www.indiascholarships.in/scholarships/shahid-madho-singh-haath-kharcha-yojana-odisha,194,7870,2.47%,4.26
https://www.indiascholarships.in/scholarships/west-bengal-post-matric-scholarship-for-scstobc,193,15721,1.23%,5.85
https://www.indiascholarships.in/scholarships-for/all,191,25915,0.74%,3.64
https://www.indiascholarships.in/scholarships/ugc-junior-research-fellowship-jrf,188,80607,0.23%,6.21
https://www.indiascholarships.in/scholarships-for/general-ews,187,10560,1.77%,5.5
https://www.indiascholarships.in/scholarships/faea-scholarship-for-undergraduate-studies,186,47863,0.39%,5.78
https://www.indiascholarships.in/scholarships-for/brahmin-community-only,185,4001,4.62%,5.97
https://www.indiascholarships.in/scholarships/jagananna-vidya-deevena-fees-reimbursement,183,32028,0.57%,6.08
https://www.indiascholarships.in/guides/ssp,176,39711,0.44%,6.5
https://www.indiascholarships.in/scholarships/post-matric-scholarship-for-ewsgeneral-category-karnataka,162,11630,1.39%,4.69
https://www.indiascholarships.in/scholarships/mahatma-jyothiba-phule-overseas-vidya-nidhi-bcebc,160,10850,1.47%,5.73
https://www.indiascholarships.in/scholarships/swami-vivekananda-merit-cum-means-scholarship-svmcm,154,114823,0.13%,6.82
https://www.indiascholarships.in/scholarships/ambedkar-overseas-vidya-nidhi-scst,152,16351,0.93%,6.46
https://www.indiascholarships.in/scholarships/andhra-pradesh-ntr-vidyonnathi,145,6225,2.33%,5.37
https://www.indiascholarships.in/scholarships/gujarat-post-matric-scholarship-for-obc,139,14522,0.96%,5.65
https://www.indiascholarships.in/scholarships/maharashtra-rajarshi-shahu,137,39431,0.35%,7.25
https://www.indiascholarships.in/scholarships-level/class-1-10,135,5518,2.45%,6.01
https://www.indiascholarships.in/scholarships/andhra-pradesh-jagananna-vidya-deevena,134,19826,0.68%,5.66
https://www.indiascholarships.in/scholarships-for/general-sc-st-obc,132,7333,1.8%,5.3
https://www.indiascholarships.in/scholarships/district-merit-scholarship-dms-kerala,130,6446,2.02%,6.74
https://www.indiascholarships.in/scholarships/telangana-postmatric-bc,124,13913,0.89%,6.02
https://www.indiascholarships.in/scholarships/up-post-matric-scholarship-dashmottar,120,13161,0.91%,5.58
https://www.indiascholarships.in/scholarships/e-medhabruti-pg-merit-scholarship-odisha,113,12493,0.9%,4.52
https://www.indiascholarships.in/scholarships/sbi-platinum-jubilee-asha-scholarship,110,30843,0.36%,8.05
https://www.indiascholarships.in/scholarships-for/bc,110,7272,1.51%,6.2
https://www.indiascholarships.in/scholarships/bihar-post-matric-scholarship-bcebc,109,21366,0.51%,5.71
https://www.indiascholarships.in/scholarships/e-medhabruti-technical-professional-scholarship-odisha,108,14913,0.72%,4.6
https://www.indiascholarships.in/scholarships-for/ebc,107,31690,0.34%,7.03
https://www.indiascholarships.in/scholarships/pre-matric-sc-students-karnataka,107,11905,0.9%,3.89
https://www.indiascholarships.in/scholarships-level/class-8,103,8160,1.26%,8.72
https://www.indiascholarships.in/scholarships-in/maharashtra,103,7674,1.34%,7.11
https://www.indiascholarships.in/scholarships/green-passage-scheme-higher-education-odisha,101,16004,0.63%,5.59
https://www.indiascholarships.in/scholarships-by-course/engineering,101,5946,1.7%,6.21
https://www.indiascholarships.in/scholarships-by-course/nursing,100,3453,2.9%,5.7
https://www.indiascholarships.in/scholarships/mukhyamantri-yuva-swavalamban-yojana-mysy,99,32102,0.31%,7.49
https://www.indiascholarships.in/scholarships-by-category,98,16257,0.6%,8.25
https://www.indiascholarships.in/scholarships/videsh-siksha-bruti-foreign-education-scholarship-odisha,98,3983,2.46%,4.31
https://www.indiascholarships.in/scholarships/savitribai-phule-pre-matric-scholarship-sc-girls,97,12490,0.78%,6.85
https://www.indiascholarships.in/scholarships/prime-ministers-research-fellowship-pmrf,96,26146,0.37%,6.66
https://www.indiascholarships.in/scholarships/pm-yasasvi-post-matric-scholarship-manipur,93,9227,1.01%,7.63
https://www.indiascholarships.in/scholarships-by-course/pharmacy,93,5657,1.64%,4.81
https://www.indiascholarships.in/scholarships-for/minority,92,9081,1.01%,7.61
https://www.indiascholarships.in/scholarships-in/andhra-pradesh,90,6860,1.31%,8.16
https://www.indiascholarships.in/scholarships-for/minority-muslim,87,3603,2.41%,6.82
https://www.indiascholarships.in/scholarships/aicte-pragati-scholarship-for-girl-students,85,12206,0.7%,7.37
https://www.indiascholarships.in/scholarships/pre-matric-scholarship-for-st-students-odisha,85,7508,1.13%,5.89
https://www.indiascholarships.in/scholarships-in/all-india,85,4306,1.97%,7.22
https://www.indiascholarships.in/scholarships/pre-matric-obc-students-karnataka,84,15995,0.53%,3.45
https://www.indiascholarships.in/scholarships/banishree-scholarship-odisha,83,12010,0.69%,6.16
